Major,College,Clsfn Year
P BUS,M,3
P BUS,M,3
AG B ,A,2
MKT  ,M,2
ACCT ,M,2
P BUS,M,2
ACCT ,M,2
AG B ,A,3
BUS U,M,2
P BUS,M,2
P BUS,M,2
AN S ,A,3
P BUS,M,3
P BUS,M,4
P BUS,M,2
P BUS,M,3
P BUS,M,3
P BUS,M,4
P BUS,M,3
AG B ,A,3
P BUS,M,3
AG B ,A,2
P BUS,M,3
P BUS,M,3
AG B ,A,2
P BUS,M,1
FIN  ,M,2
AG B ,A,2
P BUS,M,2
AG B ,A,2
MKT  ,M,2
AG B ,A,3
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,3
P BUS,M,3
P BUS,M,2
P BUS,M,2
P BUS,M,2
AG B ,A,2
P BUS,M,3
P BUS,M,2
AG B ,A,3
P BUS,M,3
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,3
AG B ,A,2
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,3
P BUS,M,3
P BUS,M,4
ACCT ,M,3
AG B ,A,2
AG B ,A,2
AG B ,A,4
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,2
P BUS,M,2
AG B ,A,3
BUS U,M,2
P BUS,M,3
AG B ,A,3
AG B ,A,3
P BUS,M,3
P BUS,M,2
P BUS,M,3
AG B ,A,3
P BUS,M,3
P BUS,M,2
MKT  ,M,2
AG B ,A,2
A M D,H,2
P BUS,M,3
AG B ,A,2
ECON ,S,4
AG B ,A,2
P BUS,M,3
P BUS,M,3
AG B ,A,3
P BUS,M,2
P BUS,M,3
P BUS,M,2
P BUS,M,2
P BUS,M,3
P BUS,M,2
P BUS,M,2
P BUS,M,2
AG B ,A,4
P BUS,M,3
P BUS,M,1
P BUS,M,3
AG B ,A,3
