n_players,n_owls,n_cards_per_player,strategy,code
2,1,2,random,LT
3,1,2,random,BU
4,1,2,random,PW
2,2,2,random,VJ
3,2,2,random,EO
4,2,2,random,FS
2,3,2,random,WW
3,3,2,random,HI
4,3,2,random,TR
2,4,2,random,EQ
3,4,2,random,TP
4,4,2,random,VW
2,5,2,random,CK
3,5,2,random,YJ
4,5,2,random,JL
2,6,2,random,FA
3,6,2,random,SC
4,6,2,random,JP
2,1,3,random,UR
3,1,3,random,MB
4,1,3,random,PZ
2,2,3,random,SK
3,2,3,random,NV
4,2,3,random,BF
2,3,3,random,DU
3,3,3,random,BJ
4,3,3,random,NK
2,4,3,random,BM
3,4,3,random,WM
4,4,3,random,HF
2,5,3,random,WH
3,5,3,random,IO
4,5,3,random,KF
2,6,3,random,NZ
3,6,3,random,NF
4,6,3,random,IE
2,1,4,random,EK
3,1,4,random,GV
4,1,4,random,XW
2,2,4,random,OL
3,2,4,random,XD
4,2,4,random,OV
2,3,4,random,WC
3,3,4,random,RX
4,3,4,random,FT
2,4,4,random,HH
3,4,4,random,NB
4,4,4,random,LS
2,5,4,random,TS
3,5,4,random,LW
4,5,4,random,GY
2,6,4,random,KC
3,6,4,random,PT
4,6,4,random,"NA"
2,1,2,last_owl_farthest,ZL
3,1,2,last_owl_farthest,PS
4,1,2,last_owl_farthest,VT
2,2,2,last_owl_farthest,QG
3,2,2,last_owl_farthest,JE
4,2,2,last_owl_farthest,OX
2,3,2,last_owl_farthest,RG
3,3,2,last_owl_farthest,FC
4,3,2,last_owl_farthest,LQ
2,4,2,last_owl_farthest,ZN
3,4,2,last_owl_farthest,GH
4,4,2,last_owl_farthest,PL
2,5,2,last_owl_farthest,UU
3,5,2,last_owl_farthest,EB
4,5,2,last_owl_farthest,RV
2,6,2,last_owl_farthest,YR
3,6,2,last_owl_farthest,PF
4,6,2,last_owl_farthest,ZQ
2,1,3,last_owl_farthest,ZD
3,1,3,last_owl_farthest,RE
4,1,3,last_owl_farthest,VO
2,2,3,last_owl_farthest,OF
3,2,3,last_owl_farthest,WO
4,2,3,last_owl_farthest,DP
2,3,3,last_owl_farthest,FB
3,3,3,last_owl_farthest,KN
4,3,3,last_owl_farthest,JX
2,4,3,last_owl_farthest,TV
3,4,3,last_owl_farthest,XX
4,4,3,last_owl_farthest,NN
2,5,3,last_owl_farthest,NW
3,5,3,last_owl_farthest,HR
4,5,3,last_owl_farthest,GZ
2,6,3,last_owl_farthest,ZA
3,6,3,last_owl_farthest,WY
4,6,3,last_owl_farthest,XM
2,1,4,last_owl_farthest,KG
3,1,4,last_owl_farthest,MK
4,1,4,last_owl_farthest,II
2,2,4,last_owl_farthest,AM
3,2,4,last_owl_farthest,DK
4,2,4,last_owl_farthest,YG
2,3,4,last_owl_farthest,VH
3,3,4,last_owl_farthest,ZB
4,3,4,last_owl_farthest,VF
2,4,4,last_owl_farthest,GL
3,4,4,last_owl_farthest,YC
4,4,4,last_owl_farthest,TX
2,5,4,last_owl_farthest,FG
3,5,4,last_owl_farthest,JC
4,5,4,last_owl_farthest,EV
2,6,4,last_owl_farthest,ZT
3,6,4,last_owl_farthest,UD
4,6,4,last_owl_farthest,IS
2,1,2,last_owl_random,SV
3,1,2,last_owl_random,QD
4,1,2,last_owl_random,VA
2,2,2,last_owl_random,CD
3,2,2,last_owl_random,ZH
4,2,2,last_owl_random,BX
2,3,2,last_owl_random,IC
3,3,2,last_owl_random,YF
4,3,2,last_owl_random,XN
2,4,2,last_owl_random,AH
3,4,2,last_owl_random,OE
4,4,2,last_owl_random,FJ
2,5,2,last_owl_random,HS
3,5,2,last_owl_random,HK
4,5,2,last_owl_random,KA
2,6,2,last_owl_random,RB
3,6,2,last_owl_random,WV
4,6,2,last_owl_random,CY
2,1,3,last_owl_random,WB
3,1,3,last_owl_random,MZ
4,1,3,last_owl_random,SO
2,2,3,last_owl_random,TG
3,2,3,last_owl_random,ER
4,2,3,last_owl_random,CA
2,3,3,last_owl_random,YQ
3,3,3,last_owl_random,DS
4,3,3,last_owl_random,IU
2,4,3,last_owl_random,LF
3,4,3,last_owl_random,ZM
4,4,3,last_owl_random,DL
2,5,3,last_owl_random,WI
3,5,3,last_owl_random,IZ
4,5,3,last_owl_random,NY
2,6,3,last_owl_random,CV
3,6,3,last_owl_random,VR
4,6,3,last_owl_random,FO
2,1,4,last_owl_random,VK
3,1,4,last_owl_random,IR
4,1,4,last_owl_random,SD
2,2,4,last_owl_random,ZY
3,2,4,last_owl_random,VY
4,2,4,last_owl_random,RL
2,3,4,last_owl_random,AU
3,3,4,last_owl_random,DT
4,3,4,last_owl_random,WK
2,4,4,last_owl_random,DC
3,4,4,last_owl_random,HG
4,4,4,last_owl_random,KU
2,5,4,last_owl_random,YW
3,5,4,last_owl_random,SW
4,5,4,last_owl_random,OZ
2,6,4,last_owl_random,YX
3,6,4,last_owl_random,DH
4,6,4,last_owl_random,KH
