group,method,in_sample,out_of_sample
Regression,Intercept-only,1.0055977199490744,1.0251674286038002
Regression,Main effects,0.03809407316698729,0.06681390244159673
Regression,Interactions,0.03016832512288277,0.07137094486753116
Selection,Forward,0.038777503988080955,0.06952804229751611
Selection,Backward,0.030517178166186834,0.06901827236727284
Selection,Forward and backward,0.036566216280862915,0.06731897287955622
Model averaging,AIC,0.03833838506676158,0.06702843072138474
Regularization,Ridge,0.038667272305619144,0.06735732633202622
Regularization,LASSO,0.038662507831492485,0.06785519032897151
Regularization,Elastic net (alpha=0.5),0.03846815714325989,0.06743466026738743
