"","Beach","X2011","X2012"
"1","Bennetts Pier",35282,21814
"2","Big Stone",359350,83500
"3","Broadkill",45705,13290
"4","Cape Henlopen",49005,30150
"5","Fortescue",68978,125190
"6","Fowler",8700,4620
"7","Gandys",18780,88926
"8","Higbees",13622,1205
"9","Highs",24936,29800
"10","Kimbles",17620,53640
"11","Kitts Hummock",117360,68400
"12","Norburys Landing",102425,74552
"13","North Bowers",59566,36790
"14","North Cape May",32610,4350
"15","Pickering",137250,110550
"16","Pierces Point",38003,43435
"17","Primehook",101300,20580
"18","Reeds",62179,81503
"19","Slaughter",203070,53940
"20","South Bowers",135309,87055
"21","South CSL",150656,112266
"22","Ted Harvey",115090,90670
"23","Townbank",44022,21942
"24","Villas",56260,32140
"25","Woodland",125,1260
