587C Schedule,,,,,
,,,,,
Week of,Monday,Tuesday,Wednesday,Thursday,Friday
2019-01-14,Intro,Lab01,P1,,P1
2019-01-21,no school,Lab02,P2,,P2
2019-01-28,P3,Lab03,P4,,P5
2019-02-04,I01,Lab04,I02,,I03
2019-02-11,review,Midterm 1,I04,,I05
2019-02-18,I06,Lab05,I07,,I08
2019-02-25,I09,Lab06,I10,,
2019-03-04,R01,Lab07,R02,,R03
2019-03-11,review,Midterm 2,R04,,
2019-03-18,spring break,,,,
2019-03-25,R05,Lab08,R05,,R06
2019-04-01,R07,Lab09,R08,,R09
2019-04-08,R09,Lab10,,,
2019-04-15,,Lab11,,,
2019-04-22,,Lab12,,,
2019-04-29,advanced,,advanced,,advanced
2019-05-06,,,Final Exam 2:15-4:15pm,,
