individual,rating
1,6
2,5
3,8
4,9
5,7
6,7
7,7
8,4
9,7
10,8
11,7
12,5
13,4
14,6
15,5
16,8
17,6
18,7
19,6
20,5
21,8
22,8
23,7
24,8
25,5
26,5
27,4
28,7
29,5
30,6
31,5
32,5
33,6
34,7
35,8
36,5
37,6
38,6
39,5
40,7
41,8
42,7
43,6
44,8
45,6
46,5
47,7
48,6
49,7
50,8
51,5
52,4
53,6
54,6
55,8
56,6
57,6
58,8
59,3
60,7
61,3
62,6
63,9
64,5
65,6
66,7
67,5
68,8
69,5
70,4
71,8
72,8
73,6
74,6
75,8
76,8
77,5
78,7
79,4
80,4
81,8
82,7
83,9
84,8
85,9
86,6
87,9
88,4
89,5
90,8
91,8
92,8
93,6
94,6
95,5
96,6
97,6
98,6
99,6
100,5
101,8
102,4
103,7
104,6
105,5
106,5
107,5
108,7
109,7
110,7
111,7
112,5
113,5
114,7
115,4
116,9
117,5
118,5
119,8
120,6
121,7
122,6
123,6
124,5
125,7
126,6
127,7
128,8
129,7
130,7
131,5
132,8
133,6
134,7
135,6
136,8
137,4
138,6
139,6
140,9
141,5
142,5
143,5
144,7
145,7
146,5
147,6
148,5
149,3
150,8
151,7
152,8
153,5
154,6
155,8
156,7
157,4
158,6
159,6
160,5
161,7
162,7
163,3
164,5
165,6
166,7
167,8
168,5
169,7
170,4
171,4
172,6
173,10
174,5
175,8
176,6
177,4
178,5
179,5
180,6
181,6
182,8
183,8
184,7
185,7
186,6
187,6
188,6
189,5
190,7
191,8
192,8
193,4
194,6
195,6
196,3
197,6
198,4
199,10
200,7
201,4
202,8
203,4
204,8
205,8
206,5
207,9
208,7
209,6
210,7
211,5
212,3
213,5
214,8
215,7
216,6
217,7
218,6
219,9
220,6
221,7
222,8
223,6
224,6
225,7
226,5
227,7
228,5
229,7
230,8
231,7
232,8
233,6
234,10
235,5
236,6
237,9
238,8
239,5
240,6
241,6
242,8
243,3
244,9
245,7
246,7
247,8
248,5
249,8
250,10
251,6
252,7
253,6
254,6
255,8
256,5
257,4
258,5
259,8
260,6
261,8
262,5
263,3
264,3
265,9
266,5
267,5
268,4
269,9
270,5
271,6
272,7
273,8
274,7
275,7
276,6
277,5
278,5
279,7
280,6
281,9
282,7
283,7
284,5
285,7
286,5
287,7
288,4
289,5
290,6
291,5
292,7
293,5
294,6
295,8
296,5
297,5
298,6
299,7
300,7
301,8
302,10
303,6
304,4
305,4
306,9
307,9
308,6
309,8
310,6
311,7
312,6
313,7
314,8
315,7
316,8
317,7
318,6
319,7
320,7
321,6
322,8
323,6
324,8
325,5
326,5
327,7
328,7
329,5
330,7
331,6
332,6
333,7
334,8
335,5
336,3
337,6
338,5
339,6
340,8
341,7
342,4
343,6
344,5
345,5
346,4
347,8
348,8
349,7
350,5
351,7
352,7
353,7
354,8
355,7
356,4
357,8
358,6
359,4
360,7
361,7
362,6
363,7
364,7
365,3
366,7
367,6
368,9
369,6
370,4
371,7
372,6
373,5
374,7
375,3
376,5
377,9
378,7
379,7
380,4
381,5
382,7
383,6
384,6
385,5
386,7
387,4
388,6
389,7
390,7
391,9
392,7
393,7
394,9
395,6
396,5
397,7
398,9
399,5
400,4
401,6
402,7
403,7
404,8
405,8
406,9
407,6
408,4
409,6
410,4
411,7
412,7
413,7
414,9
415,5
416,4
417,5
418,6
419,5
420,6
421,6
422,7
423,9
424,7
425,7
426,7
427,5
428,6
429,8
430,5
431,6
432,8
433,7
434,5
435,5
436,7
437,3
438,8
439,6
440,6
441,7
442,7
443,7
444,5
445,4
446,5
447,6
448,5
449,7
450,7
451,5
452,6
453,8
454,6
455,5
456,6
457,7
458,8
459,7
460,6
461,6
462,6
463,8
464,6
465,6
466,7
467,7
468,6
469,8
470,6
471,5
472,6
473,7
474,6
475,8
476,5
477,7
478,8
479,6
480,8
481,3
482,5
483,7
484,3
485,7
486,6
487,7
488,6
489,5
490,7
491,5
492,5
493,5
494,6
495,6
496,6
497,6
498,3
499,8
500,4
501,6
502,4
503,7
504,5
505,7
506,3
507,8
508,3
509,6
510,6
511,9
512,8
513,4
514,6
515,6
516,7
517,7
518,8
519,5
520,9
521,4
522,6
523,9
524,5
525,6
526,6
527,7
528,6
529,4
530,6
531,7
532,6
533,8
534,6
535,8
536,6
537,6
538,4
539,5
540,7
541,3
542,6
543,5
544,7
545,8
546,6
547,6
548,6
549,6
550,5
551,6
552,4
553,6
554,4
555,7
556,6
557,7
558,8
559,8
560,8
561,7
562,6
563,7
564,9
565,8
566,5
567,6
568,8
569,6
570,7
571,8
572,5
573,5
574,8
575,7
576,7
577,9
578,8
579,4
580,3
581,5
582,7
583,8
584,8
585,7
586,5
587,8
588,4
589,7
590,8
591,8
592,5
593,8
594,7
595,7
596,5
597,6
598,6
599,5
600,8
601,6
602,7
603,5
604,7
605,6
606,5
607,7
608,8
609,7
610,9
611,5
612,7
613,7
614,7
615,6
616,8
617,5
618,6
619,6
620,5
621,8
622,8
623,9
624,5
625,7
626,6
627,7
628,8
629,7
630,3
631,5
632,6
633,7
634,7
635,5
636,8
637,6
638,6
639,6
640,5
641,5
642,4
643,8
644,4
645,7
646,7
647,7
648,10
649,7
650,4
651,5
652,6
653,7
654,6
655,4
656,7
657,5
658,6
659,4
660,6
661,6
662,8
663,7
664,9
665,5
666,6
667,6
668,5
669,6
670,9
671,7
672,5
673,8
